English_Word,Amharic,Egyptian Arabic,Hausa,Levantine Arabic,Modern Standard Arabic,Sudanese Arabic,Vietnamese,Indonesian,Javanese,Tagalog,Kannada,Tamil,Telugu,Bengali,Bhojpuri,English,French,Gujarati,Hindi,Persian,Italian,Marathi,Portuguese,Russian,Spanish,German,Urdu,Punjabi,Japanese,Korean,Thai,Swahili,Mandarin,Wu,Yue,Turkish,Hungarian,Basque,Finnish,Estonian,Czech,Slovak,Balinese
I,እኔ (əne),أنا (ana),نِ (ni),أنا (ana),أَنَا (anā),أنا (ana),𠊛 (tôi),saya,ꦲꦏꦸ (aku),ᜀᜃᜓ (ako),ನಾನು (nānu),நான் (nāṉ),నేను (nēnu),আমি (āmi),हम (ham),I,je,હું (hũ),मैं (ma͠i),من (man),io,मी (mī),eu,я (ja),yo,ich,میں (maĩ),میں (maĩ),我 (wa),나 (na),ฉัน (chan),مِيمِ (mimi),我 (wǒ),我 (ngu),我 (ngóh),بن (ben),𐲋𐲛 (én),ni,minä,mina,já,ja,ᬳᬶᬘᬂ (icang)
you (sg.),አንተ (antä),انت (inta),كَيْ (kai),إنت (inta),أَنْتَ (anta),إنت (inta),伴 (bạn),kamu,ꦏꦺꦴꦮꦺ (kowé),ᜁᜃᜏ᜔ (ikaw),ನೀನು (nīnu),நீ (nī),నువ్వు (nuvvu),তুমি (tumi),तू (tū),you,tu,તું (tũ),तुम (tum),تو (to),tu,तू (tū),tu,ты (ty),tú,du,تم (tum),تسیں (tusī̃),貴方 (anata),너 (neo),คุณ (khun),ويوِي (wewe),你 (nǐ),儂 (non),你 (néih),سن (sen),𐲦𐲈 (te),zu,sinä,sina,ty,ty,ᬘᬿ (cai)
we,እኛ (əñña),احنا (eḥna),مُو (mu),إحنا (neḥna),نَحْنُ (naḥnu),نحن (niḥna),衆𠊛 (chúng tôi),kami,ꦲꦮꦏ꧀ꦝꦺꦮꦺ (awak dhéwé),ᜆᜌᜓ (tayo),ನಾವು (nāvu),நாம் (nām),మనము (manamu),আমরা (amra),हमनी (hamnī),we,nous,આપણે (āpaṇe),हम (ham),ما (mâ),noi,आपण (āpaṇ),nós,мы (my),nosotros,wir,ہم (ham),اسیں (asī̃),私達 (watashitachi),우리 (uri),เรา (rao),سِيسِ (sisi),我們 (wǒmen),阿拉 (aq laq),我哋 (ngóh deih),بز (biz),𐲚𐲒 (mi),gu,me,me,my,my,ᬳᬶᬭᬕ (iraga)
this,ይህ (yəh),ده (dah),وَنْنَن (wannan),هاد (hād),هٰذَا (hādhā),ده (da),尼 (này),ini,ꦲꦶꦏꦶ (iki),ᜁᜆᜓ (ito),ಇದು (idu),இது (itu),ఇది (idi),এ (e),ई (ī),this,ceci,આ (ā),यह (yah),این (in),questo,हे (he),este,э́то (éto),este,dieser,یہ (yeh),ایہ (e),此れ (kore),이 (i),นี้ (ni),هِي (hii),這 (zhè),搿個 (geq-keq),呢 (nī),بو (bu),𐲈𐲮 (ez),hau,tämä,see,tento,tento,ᬳᭂᬦᬾ (ené)
that,ያ (ya),داك (dāk),وَنـْچَن (wancan),هداك (hadāk),ذٰلِكَ (dhālika),داك (dāk),𠼲 (đó),itu,ꦲꦶꦏ길 (iku),ᜁᜌᜓᜈ᜔ (iyon),ಅದು (adu),அது (atu),అది (adi),ও (ō),ऊ (ū),that,cela,પેલું (pelũ),वह (vah),آن (ân),quello,ते (te),aquele,то (to),ese,jener,وہ (voh),اوہ (oh),其れ (sore),그 (geu),นั้น (nan),إِلِي (ile),那 (nà),埃個 (e-keq),嗰 (gó),شو (şu),𐲀𐲮 (az),hori,tuo,too,tamten,ten,ᬳᭂᬦ᭄ᬢᭀ (ento)
who,ማን (man),مين (mīn),وَا (wa),مين (mīn),مَنْ (man),منو (munu),埃 (ai),siapa,ꦱꦥ (sapa),ᜐᜒᜈᜓ (sino),ಯಾರು (yāru),யார் (yār),ఎవరు (evaru),কে (ke),के (ke),who,qui,કોણ (koṇ),कौन (kaun),کی (ki),chi,कोण (koṇ),quem,кто (kto),quién,wer,کون (kaun),کَون (kaun),誰 (dare),누구 (nugu),ใคร (khrai),نَانِ (nani),誰 (shéi),撒宁 (sa ning),邊個 (bīn go),كيم (kim),𐲗𐲒 (ki),nor,kuka,kes,kdo,kto,ᬜᬾᬦ᭄ (nyén)
what,ምን (mən),ايه (ēh),مِي (me),شو (shū),مَا (mā),شنو (shunu),𡇩 (gì),apa,ꦲꦥ (apa),ᜀᜈᜓ (ano),ಏನು (ēnu),என்ன (eṉṉa),ఏమిటి (ēmiṭi),কী (ki),का (kā),what,quoi,શું (śũ),क्या (kyā),چه (če),cosa,काय (kāy),que,что (što),qué,was,کیا (kyā),کیہہ (kēh),何 (nani),무엇 (mu-eot),อะไร (arai),نِينِ (nini),什麼 (shénme),啥 (sa),乜嘢 (māt yéh),نه (ne),𐲚𐲒 (mi),zer,mikä,mis,co,čo
not,አይደለም (aydälläm),مش (mish),بَا (ba),مو (moo),لَا (lā),ما (mā),空 (không),tidak,ꦲꦺꦴꦫ (ora),ᜑᜒᜈ᜔ᜇᜒ (hindi),ಇಲ್ಲ (illa),இல்லை (illai),లేదు (lēdu),না (na),ना (nā),not,ne pas,નહીં (nahī̃),नहीं (nahī̃),نـ (na),non,नाही (nāhī),não,не (ne),no,nicht,نہیں (nahī̃),نہیں (nahī̃),ない (nai),아니다 (anida),ไม่ (mai),سِ (si),不 (bù),勿 (veq),唔 (m̀h),دگل (değil),𐲛𐲈𐲚 (nem),ez,ei,mitte,ne,nie
all,ሁሉ (hullu),كل (kull),دُكْ (duk),كل (kull),كُلّ (kull),كل (kull),悉哿 (tất cả),semua,ꦏꦧꦺꦃ (kabèh),ᜎᜑᜆ᜔ (lahat),ಎಲ್ಲ (ella),அனைத்து (aṉaittu),అన్నీ (annī),সব (śob),सभ (sabh),all,tout,બધું (badhũ),सब (sab),همه (hame),tutto,सगळं (sagaḷaṁ),todo,всё (vsjo),todo,alle,سب (sab),سارا (sārā),皆 (mina),모든 (modeun),ทั้งหมด (thangmot),يُوتِي (yote),全部 (quánbù),儕 (ze),全部 (chyùhn bouh),بوتون (bütün),𐲚𐲒𐲛𐲅𐲈𐲛 (minden),oro,kaikki,kõik,všechno,všetko
many,ብዙ (bəzu),كتير (kitīr),دَ يَوَا (da yawa),كتير (ktīr),كَثِير (kathīr),كتير (katīr),𡗶 (nhiều),banyak,ꦲꦏꦺꦃ (akèh),᜙ᜇᜓᜈᜒ (marami),ಹಲವು (halavu),பல (pala),చాలా (cālā),অনেক (onek),अंघा (aṅghā),many,beaucoup,ઘણું (ghaṇũ),बहुत (bahut),خیلی (xeyli),molto,पुष्कळ (puṣkaḷ),muito,мно́го (mnógo),mucho,viele,بہت (bahut),بوہتے (bōhtē),多い (ooi),많은 (maneun),หลาย (lai),ڽِينقِ (nyingi),多 (duō),多 (tú),多 (dō),چوق (çok),𐲤𐲝𐲖 (sok),asko,monta,palju,hodně,veľa
one,አንድ (and),واحد (wāḥid),طَيَا (ɗaya),واحد (wāḥed),وَاحِد (wāḥid),واحد (wāḥid),𠬠 (một),satu,ꦱꦶꦗꦶ (siji),ᜁᜐ (isa),ಒಂದು (ondu),ஒன்று (oṉṟu),ఒకటి (okaṭi),এক (ek),एक (ek),one,un,એક (eka),एक (ek),یک (yek),uno,एक (ek),um,оди́н (odín),uno,eins,ایک (ek),اِکّ (īkk),一 (hito),하나 (hana),หนึ่ง (nueng),مُوجَا (moja),一 (yī),一 (iq),一 (yāt),بر (bir),𐲈𐲎 (egy),bat,yski,üks,jeden,jeden
two,ሁለት (hulätt),اتنين (itnēn),بِيُ (biyu),تنين (tnēn),اِثْنَان (ithnān),تنين (tinēn),𠄩 (hai),dua,ꦭꦺꦴꦫꦺꦴ (loro),ᜇᜎᜏ (dalawa),ಎರಡು (eraḍu),இரண்டு (iraṇṭu),రెండు (reṇḍu),দুই (dui),दु (du),two,deux,બે (be),दो (do),دو (do),due,दोन (don),dois,два (dva),dos,zwei,دو (do),دو (do),二 (futa),둘 (dul),สอง (song),مبِيلِ (mbili),二 (èr),二 (gni),二 (yih),ایکی (iki),𐲗𐲈𐲦𐲦𐲠 (kettő),bi,kaksi,kaks,dva,dva
big,ትልቅ (təlləq),كبير (kabīr),بَبَّا (babba),كبير (kbīr),كَبِير (kabīr),كبير (kabīr),𡘯 (lớn),besar,ꦒꦼꦝꦺ (gedhé),᜙ᜎᜃᜒ (malaki),ದೊಡ್ಡ (doḍḍa),பெரிய (periya),పెద్ద (pedda),বড় (boṛ),बड़ (baṛ),big,grand,મોટું (moṭũ),बड़ा (baṛā),بزرگ (bozorg),grande,मोठं (moṭhaṁ),grande,большо́й (bolʹšój),grande,groß,بڑا (baṛā),وَڈّا (vaḍḍā),大きい (ōkii),크다 (keuda),ใหญ่ (yai),كُبوا (kubwa),大 (dà),大 (du),大 (daaih),بويوك (büyük),𐲛𐲀𐲎 (nagy),handi,iso,suur,velký,veľký
long,ረጅም (räğğəm),طويل (ṭawīl),دُوݢُو (dogo),طويل (ṭawīl),طَوِيل (ṭawīl),طويل (ṭawīl),𨱽 (dài),panjang,ꦢꦮ (dawa),᜙ᜑᜊ (mahaba),ಉದ್ದ (udda),நீளமான (nīḷamāṉa),పొడవైన (poḍavaina),লম্বা (lomba),लँहर (lãhar),long,long,લાંબું (lā̃bũ),लम्बा (lambā),دراز (derâz),lungo,लांब (lāmb),longo,дли́нный (dlínnyj),largo,lang,لمبا (lambā),لَمّا (lammā),長い (nagai),길다 (gilda),ยาว (yao),نديفُ (ndefu),長 (cháng),長 (zaon),長 (chèuhng),اوزون (uzun),𐲏𐲝𐲤𐲤𐲩 (hosszú),luze,pitkä,pikk,dlouhý,dlhý
small,ትንሽ (tənnəš),صغيّر (ṣughayyar),قَرَمِي (ƙarami),صغير (ẓghīr),صَغِير (ṣaghīr),صغير (ṣughayyar),𡮈 (nhỏ),kecil,ꦕꦶꦭꦶꦏ꧀ (cilik),᜙ᜎᜒᜁᜆ᜔ (maliit),ಚಿಕ್ಕ (cikka),சின்ன (ciṉṉa),చిన్న (cinna),ছোট (chōṭ),छोट (choṭ),small,petit,નાનું (nānũ),छोटा (choṭā),کوچک (kuček),piccolo,लहान (lahān),pequeno,ма́ленький (málenʹkij),pequeño,klein,چھوٹا (choṭā),نِکّا (nikkā),小さい (chīsai),작다 (jakda),เล็ก (lek),ندُوقُو (ndogo),小 (xiǎo),小 (shiau),細 (sai),كوچوك (küçük),𐲗𐲒𐲄𐲒 (kicsi),txiki,pieni,väike,malý,malý
woman,ሴት (set),ست (sitt),مَچِي (mace),مرة (mara),اِمْرَأَة (imra'a),مرة (mara),𡗶婆 (đàn bà),perempuan,ꦮꦢꦺꦴꦤ꧀ (wadon),ᜊᜊᜄᜒ (babae),ಹೆಂಗಸು (heṅgasu),பெண் (peṇ),ఆడది (āḍadi),নারী (nāri),मेहरारू (mehrārū),woman,femme,બાઈડી (bāīḍī),औरत (aurat),زن (zan),donna,बाई (bāī),mulher,же́нщина (žénščina),mujer,Frau,عورت (aurat),زَنانی (zanānī),女 (onna),여자 (yeoja),หญิง (ying),مْوَانَمْكِي (mwanamke),女人 (nǚrén),女人 (gniu gnin),女人 (néuih yán),قادين (kadın),𐲛𐲜 (nő),emakume,nainen,naine,žena,žena
